Date,Description,Amount,Schedule C Category
04-05-21,Debit Card Prime Video*ZF3Q 888-802-3080 W #4349,-32.46,Owners Draw
04-05-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-69.9,COGS:Materials & Supplies
04-05-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-97.19,COGS:Materials & Supplies
04-05-21,Debit Card IHOP 3411.00 SULPHUR SPRI NT #4349,-53.18,Meals
04-05-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-83.26,Owners Draw
04-05-21,Debit Card TIERRA DEL SOL SULPHUR SPRI NT #4349,-40.27,Meals
04-05-21,Debit Card PAYPAL *DAVIRELL 4029357733 C #4349,-15.74,Financial Fees:Payment Processing
04-05-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-05-21,Debit Card O'REILLY AUTO PA SULPHUR SPRI NT #4349,-47.6,COGS:Materials & Supplies
04-05-21,Debit Card O'REILLY AUTO PA SULPHUR SPRI NT #4349,-98.36,COGS:Materials & Supplies
04-05-21,Debit Card DAIRY QUEEN - 44 SULPHUR SPRI NT #4349,-29.83,Meals
04-05-21,Debit Card DOLLAR GENERAL # SULPHUR SPRI NT #0759,-19.58,Business Supplies
04-05-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
04-05-21,Debit Card AMAZON.COM*3K1I2 SEATTLE W #4349,-16.23,Business Supplies
04-05-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
04-05-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
04-05-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-5.4,Office Expenses:Software
04-05-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-27.03,Office Expenses:Software
04-05-21,ACH CAPITAL ONE MOBILE PMT,-647.16,Owners Draw
04-05-21,Cash Roundup Transfer,-14.55,Miscellaneous Expenses
04-05-21,Check 2941,-259,Paid Checks
04-05-21,Check 3425,-803,Paid Checks
04-05-21,Check 3426,-900,Paid Checks
04-05-21,Check 3429,-676,Paid Checks
04-06-21,Deposit,700,Business Income
04-06-21,ACH Square Inc 210406 P2,606.12,Business Income
04-06-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #0759,-200,Owners Draw
04-06-21,Debit Card MARTINDALE FEED SULPHUR SPRI NT #4349,-8.5,COGS:Materials & Supplies
04-06-21,Debit Card WM SUPERCENTER # SULPHUR SPRI NT #0759,-125.98,Business Supplies
04-06-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #0759,-7.85,Vehicle Expenses:Fuel
04-06-21,Debit Card JOE BOBS #2 SULPHUR SPRI NT #4349,-43.1,Vehicle Expenses:Fuel
04-06-21,Debit Card JOE BOBS #2 SULPHUR SPRI NT #4349,-16.67,Vehicle Expenses:Fuel
04-06-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.06,Business Supplies
04-06-21,Debit Card Wal-Mart Super C SULPHUR SPRI NT #4349,-77.62,Business Supplies
04-06-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-33.59,COGS:Materials & Supplies
04-06-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-30.88,COGS:Materials & Supplies
04-06-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-6.29,COGS:Materials & Supplies
04-06-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-500,Owners Draw
04-06-21,Debit Card AMAZON.COM*S50IT SEATTLE W #4349,-17.3,Business Supplies
04-06-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-06-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-06-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-16.22,Office Expenses:Software
04-06-21,Automatic Loan Pmt LN PyXXXXXX0645 1,-262.22,Loan Payments
04-06-21,ACH AM INCOME LIFE INS.PREM 800-433-3405,-76.53,Owners Draw
04-06-21,ACH AM INCOME LIFE INS.PREM 800-433-3405,-22.98,Owners Draw
04-06-21,Cash Roundup Transfer,-6.3,Miscellaneous Expenses
04-06-21,Check 3427,-1000,Paid Checks
04-06-21,Check 3428,-650,Paid Checks
04-07-21,ACH Square Inc 210407 P2,271.22,Business Income
04-07-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-18.97,Business Supplies
04-07-21,Debit Card HOPKINS C 3410 CARROLLTON T #4349,-75,Business Supplies
04-07-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-8.34,Business Supplies
04-07-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-20.21,Business Supplies
04-07-21,Debit Card PAYPAL *ETSY 4029357733 C #4349,-27.32,Financial Fees:Payment Processing
04-07-21,Debit Card PAYPAL *ETSY.COM 4029357733 C #4349,-33.02,Financial Fees:Payment Processing
04-07-21,Debit Card MATTRESS HEAVEN SULPHUR SPRI NT #4349,-208,Owners Draw
04-07-21,Debit Card ADT SECURITY*402 WWW.ADT.COM F #4349,-336.56,Business Insurance
04-07-21,Debit Card SCRUBBIES WASH U SULPHUR SPRI NT #0759,-18,Vehicle Expenses:Routine
04-07-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-34.56,COGS:Materials & Supplies
04-07-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-45.89,COGS:Materials & Supplies
04-07-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-81.84,COGS:Materials & Supplies
04-07-21,Debit Card CHICKEN EXPRESS- SULPHUR SPRI NT #0759,-44.19,Meals
04-07-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-22.14,COGS:Materials & Supplies
04-07-21,Debit Card AMAZON.COM*N56BD SEATTLE W #4349,-42.14,Business Supplies
04-07-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-07-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
04-07-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-3.99,Meals
04-07-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-9.6,Meals
04-07-21,Debit RCR PAYPAL *PMALL CO 4029357733 I #4349,-62.34,Financial Fees:Payment Processing
04-07-21,ACH CAPITAL ONE MOBILE PMT,-3337.2,Owners Draw
04-07-21,Cash Roundup Transfer,-8.07,Miscellaneous Expenses
04-08-21,Deposit,650,Business Income
04-08-21,Deposit,730.68,Business Income
04-08-21,ACH Square Inc 210408 P2,531.69,Business Income
04-08-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-9.99,Business Supplies
04-08-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.33,Business Supplies
04-08-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-20.01,Vehicle Expenses:Fuel
04-08-21,Debit Card Sulphur S Sulphu Sulphur Spri nT #4349,-77.85,Business Supplies
04-08-21,Debit Card HOPKINS C 3410 CARROLLTON T #0759,-23,Business Supplies
04-08-21,Debit Card LOWE'S #1810 SULPHUR SPRG ST #4349,-66.96,Repairs & Maintenance:Building
04-08-21,Debit Card ADT SECURITY*403 800-238-2727 F #4349,-274.17,Business Insurance
04-08-21,Debit Card INSTACART SAN FRANCISC OC #4349,-203.7,Owners Draw
04-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-5.82,COGS:Materials & Supplies
04-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-22.82,COGS:Materials & Supplies
04-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-51.37,COGS:Materials & Supplies
04-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-77.39,COGS:Materials & Supplies
04-08-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-9.5,Meals
04-08-21,Debit Card SQ *PATRICIA REE Sulphur Spri nT #0759,-108,Owners Draw
04-08-21,Debit Card AMAZON.COM*LM4D4 SEATTLE W #4349,-23.7,Business Supplies
04-08-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-08-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-15.86,Meals
04-08-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-10.81,Office Expenses:Software
04-08-21,IB INTERNET TRANSFER TO ACCOUNT *0851,-375,Account Transfers
04-08-21,IB INTERNET TRANSFER TO ACCOUNT *9922,-475,Account Transfers
04-08-21,Cash Roundup Transfer,-5.9,Miscellaneous Expenses
04-08-21,Check 3430,-237.67,Paid Checks
04-09-21,Deposit,6689.43,Business Income
04-09-21,ACH Square Inc 210409 P2,948.93,Business Income
04-09-21,Debit Card LITTLE CAESARS 1 SULPHUR SPRI NT #4349,-8.65,Meals
04-09-21,Debit Card JOE BOBS SULPHUR SPRI NT #4349,-17.87,Vehicle Expenses:Fuel
04-09-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.33,Business Supplies
04-09-21,Debit Card HOPKINS CTY SVC CARROLLTON T #4349,-1.88,Business Supplies
04-09-21,Debit Card DONUT SUPREME SULPHUR SPRI NT #0759,-10.55,Owners Draw
04-09-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-19.68,COGS:Materials & Supplies
04-09-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-45.24,COGS:Materials & Supplies
04-09-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-47.92,COGS:Materials & Supplies
04-09-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-178.98,COGS:Materials & Supplies
04-09-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-38,COGS:Materials & Supplies
04-09-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-10.02,Meals
04-09-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-09-21,Withdrawal,-330,Owners Draw
04-09-21,ACH CAPITAL ONE MOBILE PMT,-450,Owners Draw
04-09-21,Cash Roundup Transfer,-4.06,Miscellaneous Expenses
04-09-21,Check 3431,-950,Paid Checks
04-12-21,Deposit,7140,Business Income
04-12-21,ACH Square Inc 210412 P2,1090.43,Business Income
04-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
04-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
04-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #0759,-604.25,Owners Draw
04-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #0759,-504.25,Owners Draw
04-12-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
04-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.33,Business Supplies
04-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-24.12,Business Supplies
04-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-3.86,Business Supplies
04-12-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #0759,-11.96,Business Supplies
04-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-29.52,Business Supplies
04-12-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.33,Business Supplies
04-12-21,Debit Card DOLLARTRE 810 GI SULPHUR SPRI NT #0759,-14.07,Business Supplies
04-12-21,Debit Card WAL-MART #0417 SULPHUR SPRI NT #0759,-82,Business Supplies
04-12-21,Debit Card JOE BOB #3 SULPHUR SPRI NT #4349,-5.5,Owners Draw
04-12-21,Debit Card DOLLAR-GE DG 017 SULPHUR SPRI NT #0759,-9.59,Business Supplies
04-12-21,Debit Card NORTHEAST 100 MA COMMERCE T #4349,-125,Owners Draw
04-12-21,Debit Card NORTHEAST 100 MA COMMERCE T #4349,-50,Owners Draw
04-12-21,Debit Card CN TRAVEL PLAZA- GRANT O #4349,-15.49,Vehicle Expenses:Fuel
04-12-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-2250,COGS:Materials & Supplies
04-12-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-48.04,Vehicle Expenses:Fuel
04-12-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-17.22,Vehicle Expenses:Fuel
04-12-21,Debit Card DOLLAR-GE DG 017 SULPHUR SPRI NT #4349,-12.12,Business Supplies
04-12-21,Debit Card HOPKINS CTY CLER CARROLLTON T #0759,-1,Business Supplies
04-12-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #0759,-35.25,Meals
04-12-21,Debit Card DONUT SUPREME SULPHUR SPRI NT #4349,-6.3,Owners Draw
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-12-21,Debit Card LIBERTY POWER HO 866-7693799 F #4349,-110.93,Utilities:Electricity
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-24.51,Meals
04-12-21,Debit Card PAYPAL *FACEBOOK 4029357733 C #4349,-16.76,Financial Fees:Payment Processing
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-6.15,Meals
04-12-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-9.05,Meals
04-12-21,Debit Card PIZZA INN - SULP SULPHUR SPRI NT #4349,-70,Meals
04-12-21,Debit Card SQ *NORTHCUTT DO Sulphur Spri nT #0759,-12.78,Owners Draw
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-2.91,Meals
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-10.36,Meals
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-12-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-12-21,Debit RCR Amazon Prime*4Z1 Amzn.com/bil lW #4349,-14.06,Owners Draw
04-12-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-10.81,Office Expenses:Software
04-12-21,Debit RCR NETFLIX.COM NETFLIX.COM C #4349,-19.2,Owners Draw
04-12-21,ACH ATMOS ENERGY SGL UTIL PYMT,-115.09,Utilities:Gas
04-12-21,ACH LOANCARE SERV MTG PYMT,-507.69,Owners Draw
04-12-21,Cash Roundup Transfer,-15.68,Miscellaneous Expenses
04-12-21,Check 3432,-3300,Paid Checks
04-12-21,Check 3435,-800,Paid Checks
04-12-21,Check 3493,-800,Paid Checks
04-12-21,Check 3494,-600,Paid Checks
04-13-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.49,Business Supplies
04-13-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #4349,-22.82,Meals
04-13-21,Debit Card JACK IN THE BOX SULFER SPRIN GT #0759,-17.99,Meals
04-13-21,Debit Card PILOT 00 SULPHUR SPRI NT #0759,-13.17,Vehicle Expenses:Fuel
04-13-21,Debit Card CHILI'S SULPHUR SULPHUR SPRI NT #4349,-79.06,Meals
04-13-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-500,Owners Draw
04-13-21,Debit Card AMAZON.COM*556P5 SEATTLE W #4349,-70.83,Business Supplies
04-13-21,Debit Card AMAZON.COM*U80NP SEATTLE W #4349,-39.35,Business Supplies
04-13-21,Debit Card ADTSECURITY MYAD 800-238-2727 F #4349,-168.86,Business Insurance
04-13-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-13-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-10.81,Office Expenses:Software
04-13-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-10.81,Office Expenses:Software
04-13-21,ACH CAPITAL ONE MOBILE PMT,-991.01,Owners Draw
04-13-21,Cash Roundup Transfer,-3.99,Miscellaneous Expenses
04-13-21,Check 3434,-125,Paid Checks
04-13-21,Check 3495,-650,Paid Checks
04-14-21,Deposit,1266,Business Income
04-14-21,ACH Square Inc 210414 P2,346.37,Business Income
04-14-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,9,COGS:Materials & Supplies
04-14-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #0759,-15,Business Supplies
04-14-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.12,Business Supplies
04-14-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #0759,-47.16,Business Supplies
04-14-21,Debit Card LTG TEXARKANA TR NASH T #4349,-98.19,Repairs & Maintenance:Equipment
04-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-46.99,COGS:Materials & Supplies
04-14-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-167.88,COGS:Materials & Supplies
04-14-21,Debit Card PILOT 00 SULPHUR SPRI NT #0759,-10.37,Vehicle Expenses:Fuel
04-14-21,Debit Card PAYPAL *ECLAIRCO 4029357733 C #4349,-16.98,Financial Fees:Payment Processing
04-14-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-19.97,Meals
04-14-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-14-21,Debit Card AMAZON.COM*RR7FM SEATTLE W #4349,-14.06,Business Supplies
04-14-21,Cash Roundup Transfer,-4.46,Miscellaneous Expenses
04-14-21,Check 3496,-1000,Paid Checks
04-14-21,Check 3497,-250,Paid Checks
04-14-21,Check 3324,-790,Paid Checks
04-15-21,Debit Card BURGER KING #406 SULPHUR SPRI NT #0759,-8.66,Meals
04-15-21,Debit Card LTG TEXARKANA TR NASH T #4349,-107.85,Repairs & Maintenance:Equipment
04-15-21,Debit Card PAYPAL *SOUTHERN 4029357733 C #4349,-10,Financial Fees:Payment Processing
04-15-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #0759,-35.85,Meals
04-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-4.62,COGS:Materials & Supplies
04-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-7.81,COGS:Materials & Supplies
04-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-53.35,COGS:Materials & Supplies
04-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-26.08,COGS:Materials & Supplies
04-15-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-4.62,COGS:Materials & Supplies
04-15-21,Debit Card PAYPAL *JADYLANE 4029357733 C #4349,-31.17,Financial Fees:Payment Processing
04-15-21,Debit Card SCHOLASTIC BOOK LAKE MARY F #0759,-70.25,Owners Draw
04-15-21,Debit Card AMAZON.COM*7V6L0 SEATTLE W #4349,-21.64,Business Supplies
04-15-21,Debit RCR PAYPAL *LAUNCHED 4029357733 C #4349,-82.67,Financial Fees:Payment Processing
04-15-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-24.87,Office Expenses:Software
04-15-21,Cash Roundup Transfer,-5.56,Miscellaneous Expenses
04-15-21,Check 3433,-367,Paid Checks
04-16-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.06,Business Supplies
04-16-21,Debit Card Wal-Mart Super C SULPHUR SPRI NT #0759,-87.83,Business Supplies
04-16-21,Debit Card WAL-MART #0417 SULPHUR SPRI NT #4349,-63.08,Business Supplies
04-16-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #0759,-19.41,Business Supplies
04-16-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-18.13,Vehicle Expenses:Fuel
04-16-21,Debit Card JOE BOBS SULPHUR SPRI NT #4349,-15.61,Vehicle Expenses:Fuel
04-16-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-18.38,COGS:Materials & Supplies
04-16-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-77.5,COGS:Materials & Supplies
04-16-21,Debit Card PAYPAL *JCS DESI 4029357733 C #4349,-16.25,Financial Fees:Payment Processing
04-16-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-16-21,Debit Card AMAZON.COM*7H8FV SEATTLE W #4349,-21.29,Business Supplies
04-16-21,Debit RCR AT&T*BILL PAYMEN 8003310500 G #4349,-384.35,Utilities:Phone
04-16-21,ACH ENGIE RESOURCES 9033486408,-462.37,Utilities:Gas
04-16-21,Cash Roundup Transfer,-7.29,Miscellaneous Expenses
04-19-21,Deposit,6639,Business Income
04-19-21,Deposit,1718.99,Business Income
04-19-21,ACH Square Inc 210419 P2,1048.05,Business Income
04-19-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
04-19-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #0759,-504.25,Owners Draw
04-19-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
04-19-21,Debit Card JACK IN THE BOX SULFER SPRIN GT #0759,-44.03,Meals
04-19-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #0759,-47.07,Business Supplies
04-19-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-39.71,Business Supplies
04-19-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-43.34,Vehicle Expenses:Fuel
04-19-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-15.65,Vehicle Expenses:Fuel
04-19-21,Debit Card EVI*CHOCTAW CASI GRANT O #0759,-1037.5,Owners Draw
04-19-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-7.32,Vehicle Expenses:Fuel
04-19-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-18.49,Business Supplies
04-19-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #0759,-19.73,Meals
04-19-21,Debit Card COLLEGE PAY AMARILLO T #4349,-137,Owners Draw
04-19-21,Debit Card COLLEGE PAY AMARILLO T #4349,-3.36,Owners Draw
04-19-21,Debit Card MAC TOOLS - GILM 309-922-9237 T #4349,-100,COGS:Materials & Supplies
04-19-21,Debit Card DAIRY QUEEN #146 SULPHUR SPRI NT #0759,-13.61,Meals
04-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-6.3,COGS:Materials & Supplies
04-19-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-2.42,COGS:Materials & Supplies
04-19-21,Debit Card DAIRY QUEEN - 44 SULPHUR SPRI NT #4349,-21.12,Meals
04-19-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-250,Owners Draw
04-19-21,Debit Card WENDY'S 11637 SULPHUR SPRI NT #0759,-30.46,Meals
04-19-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-100,Owners Draw
04-19-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-19-21,Debit Card PAYPAL *LARAMIES 4029357733 C #4349,-50,Financial Fees:Payment Processing
04-19-21,Debit Card Prime Video*IW1Q 888-802-3080 W #4349,-9.73,Owners Draw
04-19-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-200,Owners Draw
04-19-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-21.63,Office Expenses:Software
04-19-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-2.99,Office Expenses:Software
04-19-21,Debit RCR HLU*HULU 1339504 HULU.COM/BIL LC #4349,-80.08,Owners Draw
04-19-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-22.69,Office Expenses:Software
04-19-21,Debit RCR Peacock 5EABD Pr New York N #4349,-5.41,Owners Draw
04-19-21,Debit RCR Peacock 412F0 Pr New York N #4349,-5.4,Owners Draw
04-19-21,ACH ROBINHOOD Funds,-100,Owners Draw
04-19-21,ACH ROBINHOOD Funds,-150,Owners Draw
04-19-21,Cash Roundup Transfer,-12.14,Miscellaneous Expenses
04-19-21,Check 3575,-800,Paid Checks
04-19-21,Check 3576,-800,Paid Checks
04-19-21,Check 3577,-600,Paid Checks
04-20-21,Debit Card Rev NAPA SULPHUR SPR SULPHUR SPRI NT #4349,7.33,COGS:Materials & Supplies
04-20-21,Debit Card JOE BOBS SULPHUR SPRI NT #0759,-20.86,Vehicle Expenses:Fuel
04-20-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-2.99,Business Supplies
04-20-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-20.17,Business Supplies
04-20-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-17.52,Business Supplies
04-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-20.63,COGS:Materials & Supplies
04-20-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-6.02,COGS:Materials & Supplies
04-20-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-500,Owners Draw
04-20-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-20-21,Cash Roundup Transfer,-2.99,Miscellaneous Expenses
04-20-21,Check 3498,-100,Paid Checks
04-20-21,Check 3499,-750,Paid Checks
04-20-21,Check 3579,-650,Paid Checks
04-21-21,Deposit,433,Business Income
04-21-21,Debit Card DOLLARTRE 810 GI SULPHUR SPRI NT #0759,-23.82,Business Supplies
04-21-21,Debit Card JOE BOBS #2 SULPHUR SPRI NT #4349,-7.9,Vehicle Expenses:Fuel
04-21-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-16.33,Business Supplies
04-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-209.85,COGS:Materials & Supplies
04-21-21,Debit Card JUAN PABLOS MEX SULPHUR SPRI NT #4349,-15.16,Meals
04-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-15.98,COGS:Materials & Supplies
04-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-19.49,COGS:Materials & Supplies
04-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-114.27,COGS:Materials & Supplies
04-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-112.38,COGS:Materials & Supplies
04-21-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-16.99,COGS:Materials & Supplies
04-21-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-21-21,Debit Card Subway 12013 Sulphur Spri nT #4349,-37.9,Meals
04-21-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-8.74,Meals
04-21-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
04-21-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-14.05,Office Expenses:Software
04-21-21,Debit RCR PP*APPLE.COM/BIL 4029357733 C #4349,-5.4,Office Expenses:Software
04-21-21,ACH AMEX EPAYMENT ACH PMT ER AM,-3.41,Business Insurance
04-21-21,ACH Synchrony Bank CC PYMT,-94,Owners Draw
04-21-21,ACH WEBFILE TAX PYMT DD,-422.01,Taxes and Licenses
04-21-21,Cash Roundup Transfer,-6.1,Miscellaneous Expenses
04-21-21,Check 3578,-235,Paid Checks
04-22-21,ACH Square Inc 210422 P2,494.78,Business Income
